URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
M0_171,26,7,ISO-8859-1,nginx/1.12.0,4166.0,US,TEXAS,30/05/2008 0:00,30/05/2016 0:00,24,0,3,2508,30,30,21098,2992,30,6.0,1
M0_68,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,25/09/2000 0:00,18/07/2016 0:00,9,0,4,842,11,12,2101,994,11,2.0,1
M0_70,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,7,0,2,722,11,10,2000,1016,11,4.0,1
M0_72,26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962.0,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,7,0,2,722,11,9,1913,1036,11,4.0,1
B0_1125,26,6,utf-8,nginx,2688.0,US,Kentucky,11/01/1997 0:00,30/04/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1374,26,6,iso-8859-1,Apache,199.0,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_159,26,6,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548.0,None,None,6/11/1997 0:00,6/11/2016 0:00,13,0,1,1378,19,19,6226,1856,19,6.0,0
B0_179,26,6,None,tsa_c,0.0,US,CA,21/01/2000 0:00,8/11/2016 0:00,43,39,3,6325,53,50,32025,7063,53,10.0,0
B0_2027,26,6,ISO-8859-1,nginx/1.12.0,5426.0,US,NEW YORK,27/04/2009 0:00,27/02/2017 0:00,9,7,4,702,9,10,696,702,9,0.0,0
B0_256,26,6,iso-8859-1,Apache/2,345.0,US,FL,31/05/2000 0:00,2/04/2014 0:00,43,0,2,3252,47,47,60076,3564,47,4.0,0
B0_859,26,6,us-ascii,None,324.0,US,TX,9/03/2000 0:00,13/02/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_67,27,7,UTF-8,Apache/2.2.22 (Debian),8756.0,GB,WC1N,16/06/2000 0:00,16/02/2016 0:00,38,0,3,4207,44,45,39662,4679,44,6.0,1
M0_75,27,7,UTF-8,Apache,193.0,US,PA,19/01/2015 0:00,3/03/2017 0:00,9,0,1,1838,11,13,4524,1992,11,2.0,1
B0_1353,27,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,22/03/2017 0:00,23/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_453,27,6,UTF-8,Apache/2.4.25,7967.0,None,None,28/04/1997 0:00,24/04/2017 0:00,6,0,4,631,8,11,812,787,8,2.0,0
B0_966,27,7,ISO-8859-1,Apache,11506.0,US,FL,4/03/1996 0:00,7/01/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_94,28,7,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,21/10/2004 0:00,14/10/2014 0:00,5,0,2,556,9,9,1154,860,9,4.0,1
B0_1020,28,8,utf-8,nginx,39036.0,[u'GB'; u'UK'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,0,0,0,0,0,0,0,0,0.0,0
B0_2228,28,6,us-ascii,Microsoft-IIS/7.5,324.0,US,Pennsylvania,11/11/1996 0:00,27/04/2015 0:00,5,3,3,474,5,6,364,474,5,0.0,0
B0_229,28,7,utf-8,Apache,8578.0,CA,ON,2/10/1995 4:00,30/09/2016 9:12,21,7,5,2830,29,25,6137,3400,29,8.0,0
B0_2309,28,6,UTF-8,Apache,10576.0,IN,UTTAR PRADESH,28/06/2011 0:00,2/03/2017 0:00,14,9,2,2094,14,12,8019,2094,14,0.0,0
B0_310,28,7,us-ascii,Microsoft-IIS/7.5,324.0,None,None,16/08/2016 0:00,26/03/2017 0:00,17,1,7,1848,23,24,2167,2322,23,6.0,0
B0_332,28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846.0,US,NC,9/05/2000 17:31,11/10/2016 0:20,17,12,3,2314,23,27,21419,2740,23,6.0,0
B0_438,28,7,UTF-8,GSE,6666.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,66,5,11,6311,70,64,63634,6633,70,4.0,0
B0_563,28,6,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445.0,US,FL,14/05/1999 0:00,2/04/2014 0:00,28,5,8,2324,30,33,24662,2482,30,2.0,0
B0_695,28,7,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,None,None,33,26,4,3590,39,48,30057,4064,39,6.0,0
B0_981,28,6,UTF-8,nginx,18438.0,US,California,15/06/2007 0:00,12/05/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_106,29,7,ISO-8859-1,Apache,7314.0,US,MD,21/09/2009 0:00,9/08/2016 0:00,34,0,2,2934,40,40,34995,3416,40,6.0,1
M0_74,29,7,us-ascii,Microsoft-HTTPAPI/2.0,324.0,UG,kireka,9/04/2002 0:00,18/04/2017 0:00,5,0,2,593,7,8,1128,751,7,2.0,1
B0_1051,29,6,None,tsa_c,0.0,US,CA,21/01/2000 0:00,8/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1095,29,8,ISO-8859-1,Apache,9136.0,US,CA,20/01/1995 0:00,22/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1096,29,6,UTF-8,Apache,5019.0,US,IL,28/03/2006 0:00,24/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1154,29,6,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210.0,US,Missouri,28/09/2007 16:06,28/03/2017 18:24,0,0,0,0,0,0,0,0,0,0.0,0
B0_1287,29,6,UTF-8,Apache/2.2.22 (Debian),8654.0,JP,Osaka,4/02/2017 0:00,4/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1408,29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),238.0,CA,QC,7/03/1996 0:00,9/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_170,29,6,ISO-8859-1,Apache,26856.0,None,None,4/04/2003 0:00,5/04/2017 0:00,26,6,5,2519,30,30,22379,2851,30,4.0,0
B0_2024,29,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,Michigan,26/08/2015 0:00,26/08/2016 0:00,12,8,6,900,12,9,568,900,12,0.0,0
B0_2123,29,6,UTF-8,Apache,10210.0,US,CA,30/11/2004 0:00,7/03/2017 0:00,5,4,2,486,5,7,542,486,5,0.0,0
B0_2128,29,6,ISO-8859-1,Apache,13684.0,US,Maryland,5/03/2008 0:00,14/04/2016 0:00,15,8,7,1134,15,9,605,1134,15,0.0,0
B0_2166,29,6,us-ascii,None,324.0,CA,Ontario,8/05/2003 0:00,9/05/2016 0:00,3,3,1,366,3,5,306,366,3,0.0,0
B0_2242,29,6,iso-8859-1,nginx/1.12.0,770.0,US,South Carolina,2/11/2010 21:52,20/10/2015 23:34,5,3,3,486,5,7,436,486,5,0.0,0
B0_2266,29,8,UTF-8,Apache/2.4.25,6813.0,US,Texas,23/05/2006 0:00,13/07/2016 0:00,17,9,10,1249,17,15,1062,1249,17,0.0,0
B0_259,29,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,2/07/1998 0:00,5/07/2016 0:00,34,9,6,2861,38,26,15260,3229,38,4.0,0
B0_44,29,6,ISO-8859-1,None,34.0,US,California,2/12/1998 0:00,2/12/2016 0:00,10,2,9,612,12,14,918,772,12,2.0,0
B0_499,29,8,UTF-8,GSE,20404.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,33,6,5,3533,37,35,46688,3859,37,4.0,0
B0_642,29,6,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159.0,US,Arizona,30/05/2003 0:00,10/07/2015 0:00,21,6,11,1515,23,18,1334,1675,23,2.0,0
B0_887,29,6,iso-8859-1,Apache,388.0,US,New York,17/03/2006 0:00,14/08/2013 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_894,29,6,ISO-8859-1,Apache/2,199.0,None,None,1/03/1999 0:00,7/03/2013 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_920,29,8,us-ascii,Microsoft-HTTPAPI/2.0,324.0,AU,QLD,1/07/2015 0:00,4/03/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_112,30,8,iso-8859-1,Apache,177.0,None,None,None,None,7,0,2,666,9,9,1094,826,9,2.0,1
B0_1388,30,6,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199.0,US,MA,8/02/2013 0:00,15/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2282,30,6,UTF-8,Apache,14703.0,US,Texas,4/08/1998 0:00,4/09/2013 0:00,2,2,1,276,2,4,250,276,2,0.0,0
B0_330,30,6,UTF-8,nginx,8751.0,US,FL,30/04/2016 0:00,4/10/2016 0:00,15,2,6,1528,19,17,5586,1860,19,4.0,0
B0_348,30,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,NJ,30/12/1999 0:00,8/01/2016 0:00,90,6,14,8646,92,100,95659,8808,92,2.0,0
B0_711,30,7,utf-8,AmazonS3,350.0,US,Arizona,13/07/2001 0:00,26/04/2015 0:00,23,1,10,1902,27,26,2764,2194,27,4.0,0
M0_73,31,7,us-ascii,Microsoft-IIS/7.5,324.0,US,CA,9/04/2002 0:00,20/03/2017 0:00,7,0,2,707,11,11,1018,1031,11,4.0,1
B0_1028,31,8,utf-8,ATS,604.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1114,31,7,iso-8859-1,Apache/2.2.27 (CentOS),287.0,None,None,25/10/2014 0:00,26/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1241,31,8,utf-8,Apache,65815.0,US,MO,20/05/1996 0:00,24/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2278,31,7,utf-8,CherryPy/3.6.0,4075.0,CA,ON,1/12/1996 5:00,30/11/2016 10:30,4,3,2,432,4,6,372,432,4,0.0,0
B0_263,31,8,iso-8859-1,Apache/2.2.15 (CentOS),287.0,IN,HR,11/11/2000 0:00,3/05/2012 0:00,5,0,1,593,9,9,955,929,9,4.0,0
B0_504,31,7,UTF-8,Apache/2.2.15 (Red Hat),5132.0,US,FL,4/09/2004 0:00,24/08/2016 0:00,27,0,3,2743,33,33,43878,3181,33,6.0,0
B0_597,31,6,us-ascii,Microsoft-IIS/7.5,324.0,US,Missouri,9/09/2005 13:44,10/09/2016 13:29,23,1,4,2262,29,28,16553,2736,29,6.0,0
B0_65,31,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,None,None,18,14,3,2201,22,23,7756,2543,22,4.0,0
B0_698,31,8,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,7/08/1996 0:00,14/05/2015 0:00,103,0,3,7073,105,113,179439,7217,105,2.0,0
B0_850,31,7,utf-8,Apache,22004.0,US,CA,4/04/2006 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_992,31,7,iso-8859-1,Apache/2,345.0,US,Texas,25/05/2000 0:00,24/05/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_136,32,11,UTF-8,nginx,643.0,None,None,None,None,22,1,5,2783,30,26,3824,3367,30,8.0,1
M0_140,32,9,UTF-8,nginx,637.0,None,None,None,None,14,1,4,1457,20,16,3229,1881,20,6.0,1
B0_1181,32,6,ISO-8859-1,None,34.0,US,Missouri,9/07/2008 0:00,14/07/2008 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_128,32,9,utf-8,KHL,420762.0,None,None,10/05/2006 20:00,None,17,5,8,1314,19,26,1881,1452,19,2.0,0
B0_1341,32,8,ISO-8859-1,Apache,1399.0,US,CA,29/07/2006 0:00,7/08/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2095,32,8,utf-8,Microsoft-IIS/7.5,328.0,UK,Greater London,6/09/2016 0:00,12/03/2017 0:00,5,3,2,474,5,7,426,474,5,0.0,0
B0_2229,32,8,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,6/08/1995 0:00,24/07/2012 0:00,11,10,6,798,11,15,1124,798,11,0.0,0
B0_2271,32,6,iso-8859-1,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,199.0,US,Kansas,23/10/2008 0:00,3/03/2017 0:00,6,3,4,564,6,7,442,564,6,0.0,0
B0_254,32,8,iso-8859-1,Apache,334.0,SI,--,19/02/2009 0:00,22/12/2015 0:00,8,1,4,816,10,13,1541,958,10,2.0,0
B0_303,32,7,iso-8859-1,Apache/2.2.3 (CentOS),287.0,US,MO,30/08/1998 0:00,22/12/2016 0:00,71,0,3,10999,73,70,88707,11147,73,2.0,0
B0_40,32,7,utf-8,Apache,20212.0,US,CA,4/04/2006 0:00,3/03/2017 0:00,43,26,14,4214,49,28,9246,4650,49,6.0,0
B0_507,32,7,UTF-8,GSE,11827.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,38,2,5,4607,42,35,58676,4945,42,4.0,0
B0_582,32,8,ISO-8859-1,nginx/1.12.0,1108.0,US,California,22/03/2005 3:36,22/03/2017 3:37,13,0,2,2065,17,16,7280,2349,17,4.0,0
B0_937,32,7,us-ascii,None,324.0,US,Arizona,26/06/2009 0:00,29/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_122,33,11,UTF-8,nginx,646.0,None,None,None,None,13,1,5,1497,17,14,2116,1787,17,4.0,1
M0_125,33,9,UTF-8,nginx,637.0,None,None,None,None,23,1,5,2851,31,26,3814,3431,31,8.0,1
M0_138,33,9,UTF-8,nginx,640.0,None,None,None,None,18,1,5,2147,24,20,2848,2577,24,6.0,1
M0_142,33,9,UTF-8,nginx,643.0,None,None,None,None,4,0,4,264,4,6,388,264,4,0.0,1
B0_1288,33,6,utf-8,Apache/2.4,19890.0,CA,BC,20/04/2000 0:00,25/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1390,33,9,utf-8,None,18302.0,US,CA,29/05/1996 0:00,26/04/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1419,33,7,iso-8859-1,Apache,318.0,JP,Osaka,12/11/2016 0:00,16/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2155,33,7,UTF-8,GSE,60722.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,4,2,3,408,4,6,382,408,4,0.0,0
B0_312,33,6,UTF-8,Microsoft-IIS/7.5,39.0,US,AL,19/08/2012 0:00,24/06/2016 0:00,24,1,4,3375,28,30,18396,3703,28,4.0,0
B0_570,33,8,UTF-8,Apache/2.2.31 (Amazon),1371.0,IL,None,28/04/2003 0:00,29/04/2017 0:00,19,0,3,2042,27,27,4760,2622,27,8.0,0
M0_130,34,11,UTF-8,nginx,655.0,None,None,None,None,27,5,8,2721,35,27,3896,3313,35,8.0,1
M0_159,34,11,UTF-8,nginx,649.0,None,None,None,None,15,1,5,1632,21,18,2661,2068,21,6.0,1
M0_180,34,9,iso-8859-1,Apache,214.0,None,None,None,None,9,0,4,850,11,14,1382,990,11,2.0,1
B0_1036,34,6,UTF-8,nginx/1.12.0,18298.0,US,MAINE,14/01/2008 0:00,14/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1054,34,7,us-ascii,Microsoft-HTTPAPI/2.0,324.0,GB,None,26/03/2000 0:00,26/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1087,34,7,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_110,34,7,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,33,27,2,5235,41,40,14571,5835,41,8.0,0
B0_2098,34,7,utf-8,Apache/2.4.10 (Debian),6474.0,US,Virginia,6/05/2010 16:44,20/09/2013 15:03,6,3,4,552,6,9,564,552,6,0.0,0
B0_2142,34,9,ISO-8859-1,Apache,1486.0,GB,None,9/03/2007 0:00,3/03/2015 0:00,5,3,2,498,5,5,306,498,5,0.0,0
B0_2221,34,9,UTF-8,Apache/2.4.12 (Ubuntu),10892.0,None,None,31/05/1996 0:00,15/04/2016 0:00,3,3,1,366,3,4,244,366,3,0.0,0
B0_322,34,8,utf-8,Apache/2.2.31 (Amazon),7255.0,None,None,29/07/2004 0:00,3/01/2016 0:00,17,1,2,1661,23,26,10015,2167,23,6.0,0
B0_460,34,7,UTF-8,GSE,6608.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,42,0,3,4895,46,45,39544,5241,46,4.0,0
B0_586,34,9,ISO-8859-1,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,111.0,US,California,17/01/2005 0:00,18/01/2017 0:00,21,0,5,2292,23,24,16147,2450,23,2.0,0
B0_746,34,8,ISO-8859-1,nginx,996.0,US,CA,1/06/2005 0:00,9/09/2016 0:00,7,0,2,716,11,10,1979,1030,11,4.0,0
B0_760,34,7,ISO-8859-1,nginx,1501.0,US,New York,22/12/1999 0:00,24/05/2012 0:00,23,3,11,2042,29,29,7939,2520,29,6.0,0
B0_961,34,6,us-ascii,Microsoft-IIS/7.5,324.0,US,Arizona,17/11/2003 0:00,11/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_107,35,9,ISO-8859-1,Apache,7314.0,None,None,21/09/2009 0:00,9/08/2016 0:00,39,0,3,3240,45,45,35301,3722,45,6.0,1
M0_108,35,9,ISO-8859-1,Apache,7314.0,None,None,21/09/2009 0:00,9/08/2016 0:00,39,0,2,3240,45,45,35301,3722,45,6.0,1
M0_123,35,11,UTF-8,nginx,652.0,None,None,None,None,15,1,5,1635,21,17,2640,2073,21,6.0,1
M0_124,35,11,UTF-8,nginx,652.0,None,None,None,None,21,1,5,2367,29,26,3801,2957,29,8.0,1
M0_127,35,9,UTF-8,nginx,646.0,None,None,None,None,12,1,5,1340,16,12,964,1622,16,4.0,1
M0_135,35,11,UTF-8,nginx,652.0,None,None,None,None,19,1,5,2223,25,20,2868,2661,25,6.0,1
M0_137,35,11,UTF-8,nginx,652.0,None,None,None,None,18,1,5,2157,24,22,2996,2595,24,6.0,1
M0_148,35,11,UTF-8,nginx,652.0,None,None,None,None,19,1,5,2223,25,22,2996,2661,25,6.0,1
M0_152,35,11,UTF-8,nginx,652.0,None,None,None,None,23,1,5,2864,31,25,3773,3454,31,8.0,1
B0_1148,35,8,UTF-8,mw2232.codfw.wmnet,4685.0,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0.0,0
B0_144,35,6,us-ascii,Microsoft-IIS/7.5,324.0,None,None,21/03/2014 0:00,22/03/2017 0:00,22,15,8,1527,24,25,1928,1699,24,2.0,0
B0_194,35,9,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CA,22/10/1998 0:00,16/03/2017 0:00,49,10,6,2961,53,61,38255,3261,53,4.0,0
B0_2026,35,9,utf-8,nginx,39362.0,[u'GB'; u'UK'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,4,3,2,420,4,4,244,420,4,0.0,0
B0_2156,35,7,UTF-8,Sucuri/Cloudproxy,14462.0,CA,ON,17/07/2009 0:00,7/07/2016 0:00,8,6,6,696,8,5,306,696,8,0.0,0
